geo,year,involuntary_part_time
FRK1,2015,31739.0
FRK1,2016,36024.0
FRK1,2017,34094.0
FRK1,2018,32917.0
FRK1,2019,32622.0
FRK1,2020,22365.0
FRK1,2021,27453.0
FRK1,2022,20905.0
FRK1,2023,25650.0
FRK2,2013,122928.0
FRK2,2014,121888.0
FRK2,2015,167252.0
FRK2,2016,135525.0
FRK2,2017,146199.0
FRK2,2018,158567.0
FRK2,2019,153817.0
FRK2,2020,110348.0
FRK2,2021,120165.0
FRK2,2022,108787.0
FRK2,2023,86456.0
FRL0,2013,106613.0
FRL0,2014,118859.0
FRL0,2015,110132.0
FRL0,2016,123185.0
FRL0,2017,136648.0
FRL0,2018,101351.0
FRL0,2019,92930.0
FRL0,2020,85727.0
FRL0,2021,71325.0
FRL0,2022,69070.0
FRL0,2023,89019.0
FRM0,2013,5949.0
FRM0,2014,2956.0
FRM0,2015,1707.0
FRM0,2016,589.0
FRM0,2017,618.0
FRM0,2018,7430.0
FRM0,2019,7513.0
FRM0,2020,6599.0
FRM0,2021,2230.0
FRM0,2022,3936.0
FRM0,2023,763.0
FRY1,2014,12458.0
FRY1,2015,12702.0
FRY1,2016,10521.0
FRY1,2017,11176.0
FRY1,2018,12118.0
FRY1,2019,10908.0
FRY1,2020,8757.0
FRY1,2021,9577.0
FRY1,2022,12787.0
FRY1,2023,10741.0
FRY2,2014,14420.0
FRY2,2015,11334.0
FRY2,2016,13537.0
FRY2,2017,10486.0
FRY2,2018,11671.0
FRY2,2019,10256.0
FRY2,2020,9804.0
FRY2,2021,10576.0
FRY2,2022,8959.0
FRY2,2023,6897.0
FRY3,2014,4122.0
FRY3,2015,4129.0
FRY3,2016,4631.0
FRY3,2017,4006.0
FRY3,2018,4213.0
FRY3,2019,3927.0
FRY3,2020,3317.0
FRY3,2021,6069.0
FRY3,2022,3684.0
FRY3,2023,3575.0
FRY4,2014,26100.0
FRY4,2015,29512.0
FRY4,2016,29278.0
FRY4,2017,32572.0
FRY4,2018,26761.0
FRY4,2019,29075.0
FRY4,2020,31147.0
FRY4,2021,28603.0
FRY4,2022,30728.0
FRY4,2023,30394.0
HR03,2008,5938.0
HR03,2009,6617.0
HR03,2010,6976.0
HR03,2011,7857.0
HR03,2012,4796.0
HR03,2013,4977.0
HR03,2014,4586.0
HR03,2015,4726.0
HR03,2016,4823.0
HR03,2017,6875.0
HR03,2018,7279.0
HR03,2019,6276.0
HR03,2020,6057.0
HR03,2021,8863.0
HR03,2022,6899.0
HR03,2023,4173.0
HR04,2008,13407.0
HR04,2009,12088.0
HR04,2010,11848.0
HR04,2011,14569.0
HR04,2012,10865.0
HR04,2013,11701.0
HR04,2014,7991.0
HR04,2015,12944.0
HR04,2016,15992.0
HR04,2017,13438.0
HR04,2018,14168.0
HR04,2019,13141.0
HR04,2020,10474.0
HR04,2021,10731.0
HR04,2022,11825.0
HR04,2023,8760.0
HU10,2008,4940.0
HU10,2009,9910.0
HU10,2010,13094.0
HU10,2011,14749.0
HU10,2012,20440.0
HU10,2013,24009.0
HU10,2014,23218.0
HU10,2015,16679.0
HU10,2016,10004.0
HU10,2017,12545.0
HU10,2018,12145.0
HU10,2019,8936.0
HU10,2020,4897.0
HU10,2021,9332.0
HU10,2022,5915.0
HU10,2023,6639.0
HU21,2008,5105.0
HU21,2009,3071.0
HU21,2010,3793.0
HU21,2011,6523.0
HU21,2012,6486.0
HU21,2013,8394.0
HU21,2014,6234.0
HU21,2015,5604.0
HU21,2016,3855.0
HU21,2017,1435.0
HU21,2018,1649.0
HU21,2019,1828.0
HU21,2020,1471.0
HU21,2021,1853.0
HU21,2022,2017.0
